qid,query,document,label
56,ما هي الداتاست dataset,"نحصل على الداتا من البيانات الاحصائية، حيث تقسم الـ Dataset( مجموعة البيانات) إلى ثالثة أقسام: ? data Training: وهو الجزء الذي تُدرّب عليه المنظومة (الشبكة العصبونية أو أي نظام ذكاء صنعي).
? data Validation: للتأكد من صحة المعلومات.? Testing data  للاختبار ",4
57,ما هي الداتاست dataset,تقسم الـ Dataset( مجموعة البيانات) إلى ثالثة أقسام:  data Training: وهو الجزء الذي تُدرّب عليه المنظومة (الشبكة العصبونية أو أي نظام ذكاء صنعي). data Validation: للتأكد من صحة المعلومات. Testing data  للاختبار,2
58,ما هي الداتاست dataset,يتم التعلم بوجود معلم حيث قيم الخرج فيه متقطعة,0
59,ما اقسام الداتاست,تقسم الـ Dataset( مجموعة البيانات) إلى ثالثة أقسام:  data Training: وهو الجزء الذي تُدرّب عليه المنظومة (الشبكة العصبونية أو أي نظام ذكاء صنعي). data Validation: للتأكد من صحة المعلومات. Testing data  للاختبار,4
60,ما اقسام الداتاست,"نحصل على الداتا من البيانات الاحصائية، حيث تقسم الـ Dataset( مجموعة البيانات) إلى ثالثة أقسام:  data Training: وهو الجزء الذي تُدرّب عليه المنظومة (الشبكة العصبونية أو أي نظام ذكاء صنعي).
 data Validation: للتأكد من صحة المعلومات. Testing data  للاختبار ",4
61,ما هو النمط Pattern,"إن معظم عملنا بال  Machin learning يتركز على السمات وإيجاد أنماط وهذه وظيفة الشبكة العصبونية، حيث تقوم بالتنبؤ بأنماط أو محاولة إيجاد نمط يناسب متطلبات المشكلة التي نحاول حلها، حيث نحاول إيجاد أنماط في ال Dataوهذا ما يسمى بال Data mining وهي تقوم بالبحث في كم هائل جداً من المعلومات إليجاد نمط يصف هذه  المعلومات وبالتالي القدرة على استخراج المفيد منها.",4
62,ما هو النمط Pattern,"وهو مصطلح يعني التعرف على الانماط أو تمييز النماذج، وبشكل أكثر دقة هو إعادة التعرف على األنماط ذلك لان  النمط يكون معروف وهدفنا إعادة التعرف عليه بمكان آخر لم يتم التعرف عليه من قبل",3
63,ما هو النمط Pattern,"وهو عبارة عن غرض ما يتم اختصاره بمجموعة سمات تميّ زه عن غيره وتصف حالة ما أو شيء ما، مثال: نستطيع بشكل عام أن نصف الطالب الناجح بالجامعة بمجموعة صفات تميزه عن طالب من المتوقع أن  يرسب، مثل أن يدرس الطالب محاضراته و يلتزم بحضورها ويحضّر المتحاناته فإننا نتوقع بأن هذا الطالب سينجح في النهاية، وبالتالي سنسمي هذه الصفات بنمط الطالب الناجح واذا درسنا صفات الطالب بهذا النمط ستكون لدينا القدرة على التوقع وليس التأكيد فيما إذا كان هذا الطالب ناجح أو لا.",3
64,ما هو  Pattern Recognition,"وكلما كانت الصفات الواصفة للنمط قابلة للقياس بدقة كانت دقة التوقع أكبر،فلو استخدمنا صفات قابلة للقياس مثل الوزن والطول واللون و... الخ فإن النتيجة ستكون دقيقة كونها مستندة  لصفات دقيقة",4
65,ما هو  Pattern Recognition,"وهو عبارة عن غرض ما يتم اختصاره بمجموعة سمات تميّ زه عن غيره وتصف حالة ما أو شيء ما، مثال: نستطيع بشكل عام أن نصف الطالب الناجح بالجامعة بمجموعة صفات تميزه عن طالب من المتوقع أن  يرسب، مثل أن يدرس الطالب محاضراته و يلتزم بحضورها ويحضّر المتحاناته فإننا نتوقع بأن هذا الطالب سينجح في النهاية، وبالتالي سنسمي هذه الصفات بنمط الطالب الناجح واذا درسنا صفات الطالب بهذا النمط ستكون لدينا القدرة على التوقع وليس التأكيد فيما إذا كان هذا الطالب ناجح أو لا.
وكلما كانت الصفات الواصفة للنمط قابلة للقياس بدقة كانت دقة التوقع أكبر،فلو استخدمنا صفات قابلة للقياس مثل الوزن والطول واللون و... الخ فإن النتيجة ستكون دقيقة كونها مستندة  لصفات دقيقة",1
66,ما هو النمط Pattern,"وهو عبارة عن غرض ما يتم اختصاره بمجموعة سمات تميّ زه عن غيره وتصف حالة ما أو شيء ما، مثال: نستطيع بشكل عام أن نصف الطالب الناجح بالجامعة بمجموعة صفات تميزه عن طالب من المتوقع أن  يرسب، مثل أن يدرس الطالب محاضراته و يلتزم بحضورها ويحضّر المتحاناته فإننا نتوقع بأن هذا الطالب سينجح في النهاية، وبالتالي سنسمي هذه الصفات بنمط الطالب الناجح واذا درسنا صفات الطالب بهذا النمط ستكون لدينا القدرة على التوقع وليس التأكيد فيما إذا كان هذا الطالب ناجح أو لا.
وكلما كانت الصفات الواصفة للنمط قابلة للقياس بدقة كانت دقة التوقع أكبر،فلو استخدمنا صفات قابلة للقياس مثل الوزن والطول واللون و... الخ فإن النتيجة ستكون دقيقة كونها مستندة  لصفات دقيقة",2
67,ما هي مجالات التعلم الالي,"1. Supervised learning التعلم الخاضع للاشراف
2. Unsupervised learningالتعلم الغير خاضع للاشراف 
3. Reinforcement Learningتعلم المعزز",0
68,ما هي مجالات التعلم الالي,"التعرف على األصوات بمختلف أشكالها ومجاالتها، التعرف على الكالم المكتوب بخط اليد, علم التعرف على الصور وإيجاد المعلومات واستخراجها من الصور، التعرف على الخصائص الحيوية كالبصمة أو القزحية أو الصوت, التعرف على البصمات عن طريق شكلها ونمطها, التعرف على األورام والتفاصيل الظاهرة بالصور الطبية .",3
69,ما هي مجالات التعلم الالي,التنبؤ بسعر منزل وفقاً لمساحته وسعره.,3
70,ما هي مجالات التعلم الالي,تصنيف اإليميل إلى spam و normal,3
71,ما هو الفرق بين Pattern recognition و Machine Learning,"التعلم الالي هو  بناء الخوارزميات لحل مشكلة التعرف على الانماط، فهو يقوم بتحليل المعلومات الموجودة ومحاولة ايجاد حل للمشكلة وايجاد طريق للتعرف على النمط عن طريق التعلم واستكشافالمعلومات الجديدة. تدريب االالة لجعلها قادرة على التعرف على  االنماط واسقاطها على مشاكل معينة
اما تمييز الانماط يستخدم خوارزميات ال  Machine Learning لحل المشكلات المصممة لها و لكن يكون الحل المقدم له تحليلي رياضي و ليس بحاجة للتعلم و انما جاهز لالستخدام مباشرة دون تعلم.بالاضافة الى انه ليس بحاجة للتعلم و انما يستخدم للتعرف على النمط مباشرة .",4
72,ما هو الفرق بين Pattern recognition و Machine Learning,"يتميز التعلم الالي عن تمييز الانماط بكونه يستطيع التعامل مع المعلومات الجديدة و التكيف معها و تحسين أدائه بناءً على المدخلات الجديدة و استنتاجاً من تجاربه السابقة
وبالتالي نستنتج بأن تمييز األنماط يستخدم خوارزميات التعلم االالي في عمله ولكن من دون التعلم من الانماط التي درسها",3
73,ماذا يتميز التعلم االالي عن تمييز الالنماط,"التعلم الالي هو  بناء الخوارزميات لحل مشكلة التعرف على الانماط، فهو يقوم بتحليل المعلومات الموجودة ومحاولة ايجاد حل للمشكلة وايجاد طريق للتعرف على النمط عن طريق التعلم واستكشافالمعلومات الجديدة. تدريب االالة لجعلها قادرة على التعرف على  االنماط واسقاطها على مشاكل معينة
اما تمييز الانماط يستخدم خوارزميات ال  Machine Learning لحل المشكلات المصممة لها و لكن يكون الحل المقدم له تحليلي رياضي و ليس بحاجة للتعلم و انما جاهز لالستخدام مباشرة دون تعلم.بالاضافة الى انه ليس بحاجة للتعلم و انما يستخدم للتعرف على النمط مباشرة .",2
74,ماذا يتميز التعلم االالي عن تمييز الالنماط,"يتميز التعلم الالي عن تمييز الانماط بكونه يستطيع التعامل مع المعلومات الجديدة و التكيف معها و تحسين أدائه بناءً على المدخلات الجديدة و استنتاجاً من تجاربه السابقة
وبالتالي نستنتج بأن تمييز األنماط يستخدم خوارزميات التعلم االالي في عمله ولكن من دون التعلم من الانماط التي درسها",4
75,ما هو ال deep learning,"وهو علم مشتق من التعلم الالي ويستخدم عند وجود Data كبيرة جدا،ً ومفهوم الlearning Deep هو إنشاء شبكات عصبونية بعدد كبير من الطبقات وهذا سبب تسميتها بال Deep",4
76,ما هو ال deep learning,"هي محاكاة آلية نقل السيالة العصبية إلى الدماغ أي هي محاكاة للدماغ المتحكم بجسم الانسان، فهي تساعد على اتخاذ قرار، حل مشكلات، القيام بعمليات تصنيف وتنبؤ وتعرُّف... إذاً بنية الشبكة العصبية عندما تحاكي  الدماغ بعملها فهي تحاكي وظائفه.
- الشبكات العصبونية تقنية تستخدم لتحقيق أهداف machine learning.
- هناك شبكات عصبونية بطبقة واحدة أي: دخل – معالجة – خرج، وهناك شبكات عصبونية بطبقات متعددة أي: طبقة دخل – عدّة طبقات داخلية للمعالجة – طبقة خرج (وممكن أن يكون الخرج وحيد أو متعدد).
- إذا كان هناك عدّة طبقات داخلية وأصبح هناك عمق للشبكة سُميَت بالشبكات العميقة ونتج عنها ما يسمى deep learning",3
77,ما هو ال deep learning,"المرحلة االاولى: تطوير نماذج إحصائية ننطلق منها لاتخاذ قرار. المرحلة الثانية: بناء خوارزميات عن طريق جعل الكومبيوتر ينفذ مهام دون تعليمات خارجية، فهي تقوم على مبدأ أخذ الدخل والخرج وإعطاء البرنامج على عكس البرمجة التقليدية.",2
78,لماذا نلجأ لل learning Deep,وذلك لان الشبكة العصبونية بطبقات قليلة لم تكن قادرة على معالجة البيانات واستخراج المعلومات اللازمة والمرغوب بها,4
79,لماذا نلجأ لل learning Deep,"وهو علم مشتق من التعلم الالي ويستخدم عند وجود Data كبيرة جدا،ً ومفهوم الlearning Deep هو إنشاء شبكات عصبونية بعدد كبير من الطبقات وهذا سبب تسميتها بال Deep",3
80,ما الفرق بين الشبكات العصبونية العادية والشبكات العصبونية العميقة,"الشبكات العصبونية العميقة تحتاج كميات كبيرة من الData لتدريبه,  تقدم دقة عالية, تحتاج وقت كبير للتدريب,  تحتاج لل GPU للتدريب بسبب الحجم  الهائل, محاولة معالجة المشكلة بطرق متعددة
شبكات العصبونية العادية او التعلم الالي يمكن تدريبها ب Data قليلة, تقدم دقة جيدة, ال تحتاج الى وقت كبير للتدريب, يمكن أن يتم التدريب على المعالج, عدد محدود من االمكانيات على معالجة المشكلة",4
81,ما الفرق بين الشبكات العصبونية العادية والشبكات العصبونية العميقة,"Machine Learning : تقسيم الصفات ومحاولة معالجتها والقدرة على التعلم والقدرة على حفظ هذه األنماط.
 Deep Learning : تقسيم الصفات لعدد أكبر من التعلم الالي والقدرة على التعلم وحفظ هذه اأنماط.",3
82,مقارنة بين Pattern Recognition & Machine Learning & Deep Learning," Recognition Pattern: محاولة تمييز األنماط من دون تعلم. 
Learning Machine: تقسيم الصفات ومحاولة معالجتها والقدرة على التعلم والقدرة على حفظ هذه األنماط.
 Learning Deep: تقسيم الصفات لعدد أكبر من التعلم الالي والقدرة على التعلم وحفظ هذه اأنماط.",4
83,مقارنة بين Pattern Recognition & Machine Learning & Deep Learning,"Learning Machine: تقسيم الصفات ومحاولة معالجتها والقدرة على التعلم والقدرة على حفظ هذه األنماط.
 Learning Deep: تقسيم الصفات لعدد أكبر من التعلم الالي والقدرة على التعلم وحفظ هذه اأنماط.",2
84,ما هو ال features,"السمات وهي أي شي قابل للقياس مثل الوزن والطول.. والخ، ويمكن جمعهم بما يسمى "" شعاع السمات """,4
85,ما هو ال features,استخراج السمات يعني انتقاء السمات المناسبة من أجل بناء نتائج أقرب ما يمكن للصحة وهو عامل مهم في تحديد  نتائج الالة,2
86,ما هو ال features,"إن معظم عملنا بال  Machin learning يتركز على السمات وإيجاد أنماط وهذه وظيفة الشبكة العصبونية، حيث تقوم بالتنبؤ بأنماط أو محاولة إيجاد نمط يناسب متطلبات المشكلة التي نحاول حلها، حيث نحاول إيجاد أنماط في ال Dataوهذا ما يسمى بال Data mining وهي تقوم بالبحث في كم هائل جداً من المعلومات إليجاد نمط يصف هذه  المعلومات وبالتالي القدرة على استخراج المفيد منها.",0
87,ما ال feature space,يتم فيه تمثيل شعاع السمات ويكون بعده حسب عدد السمات.,4
